what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1234336982031
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1234336982031
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1234336982031
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1234336982031
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1234336982031
started,bundle,org.eclipse.jdt.core,3.4.2.v_883_R34x,org.eclipse.jdt.core,1234336982031
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1234336982031
started,bundle,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui,1234336982031
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1234337061437
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1234337061468
closed,view,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.internal.introview,1234337061484
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1234337074781
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1234337075015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234337076218
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.ui,1234337077171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234337081203
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234337081781
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1234337082250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234337120359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1234337120375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234337126375
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234337135312
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1234337135328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234337137640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234337137640
